,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,spins,spins,spins,spins,spins,spins,spins,spins,spins,spins,spins,spins,
station,city,state,6/9,6/16,6/23,6/30,7/7,7/14,7/21,7/28,8/4,8/11,8/18,8/25,comments
EASY,Tuscarawas,OH,received,received,received,received,received,received,received,received,received,received,,,
Indie 104,Covina,CA,Added,10,15,20,25,25,30,30,40,45,,,
KACV,Amarillo,TX,received,received,in for review,reviewing,Added,Light,Light,Light,Medium,Medium,,,Medium Rotation: 3-5 spins per week 
KALA,Davenport,IA,received,in for review,reviewing,Added,Light,Light,Light,Medium,Medium,Medium,,,Medium Rotation: 3-5 spins per week 
KALW,Sunnyvale,CA,mailed,mailed,received,in for review,reviewing,Added,Light,Light,Light,Light,,,
KALX,Berkeley,CA,received,received,in for review,reviewing,reviewing,Added,Library,Library,Library,Library,,,Added to music library; available for play
KAOS,Olympia,WA,in for review,reviewing,Added,Light,Light,Light,Medium,Medium,Medium,Medium,,,
KBCS,Bellevue,WA,mailed,received,received,in for review,reviewing,Added,Light,Light,Light,Light,,,
KBEACH,Long Beach,CA,received,in for review,reviewing,Added,Light,Light,Light,Medium,Medium,Medium,,,Medium Rotation: 3-5 spins per week 
KBGA,Missoula,MT,mailed,received,received,in for review,reviewing,Added,Light,Light,Light,Light,,,
KBHI,Cape Girardeau,MO,received,in for review,reviewing,Added,7,7,7,8,8,8,,,
KBOO,Portland,OR,mailed,received,in for review,reviewing,Added,Light,Light,Light,Light,Light,,,Light Rotation: 1-3 spins per week 
KBPK ,Fullterton,CA,received,reviewing,Added,2,2,2,3,3,3,3,,,
KBSB,Bemidji,MN,mailed,mailed,received,received,in for review,reviewing,Added,Light,Light,Light,,,
KBUT,Crested Butte,CO,received,received,in for review,reviewing,Added,Light,Light,Light,Light,Medium,,,Medium Rotation: 3-5 spins per week 
KBVR,Corvallis,OR,received,in for review,reviewing,Added,Light,Light,Light,Light,Medium,Medium,,,Light Rotation: 1-3 spins per week 
KCFV,St. Louis,MO,mailed,received,in for review,reviewing,Added,Medium,Medium,Medium,Medium,Medium,,,Medium Rotation: 3-5 spins per week 
KCHE,Cherokee ,IA,Added,6,8,8,10,10,12,12,14,16,,,
KCMP,St Paul,MN,mailed,mailed,received,received,in for review,reviewing,Added,Light,Light,Light,,,
KCOU,Columbia,MO,received,in for review,reviewing,Added,Light,Light,Light,Medium,Medium,Medium,,,Medium Rotation: 3-5 spins per week 
KCPR,San Luis Obispo,CA,received,received,in for review,reviewing,Added,Light,Light,Light,Light,Light,,,
KCSN,Northridge,CA,mailed,received,received,in for review,reviewing,Added,Light,Light,Light,Light,,,
KCSS,Turlock,CA,mailed,mailed,received,received,in for review,reviewing,Added,Light,Light,Light,,,
KDHX,St. Louis,MO,reviewing,Added,Library,Library,Library,Library,Library,Library,Library,Library,,,Added to music library; available for play
